Class,Duration (s)
Burping,3.99
Burping,3.9
Burping,3.99
Burping,4.98
Burping,3.99
Burping,3.3
Burping,3.99
Burping,3.9
Burping,3.99
Burping,4.98
Burping,3.99
Burping,3.99
Burping,3.99
Burping,3.99
Burping,2.94
Burping,3.99
Burping,3.96
Burping,1.35
Burping,1.41
Burping,3.87
Burping,1.29
Burping,3.99
Burping,3.09
Burping,6.9
Burping,3.99
Burping,3.99
Burping,3.09
Burping,3.99
Burping,3.99
Burping,3.12
Burping,3.3
Burping,6.51
Burping,3.99
Burping,4.98
Burping,6.6
Burping,3.99
Burping,6.21
Burping,3.99
Burping,3.99
Burping,6.93
Burping,3.21
Burping,1.29
Burping,3.57
Burping,3.99
Burping,3.99
Burping,3.99
Burping,3.99
Burping,6.84
Burping,3.99
Burping,6.72
Burping,6.63
Burping,3.99
Burping,2.61
Burping,4.98
Burping,6.45
Burping,3.99
Burping,4.98
Burping,3.48
Burping,3.99
Burping,3.3
Burping,3.99
Burping,3.39
Burping,3.99
Burping,3.99
Burping,3.99
Burping,6.81
Burping,6.15
Burping,3.87
Burping,3.0
Burping,2.94
Burping,3.99
Burping,4.98
Burping,6.24
Burping,3.99
Burping,3.06
Burping,3.99
Burping,3.78
Burping,4.98
Burping,3.99
Burping,1.2
Burping,3.99
Burping,6.84
Burping,4.98
Burping,3.99
Burping,3.21
Burping,6.84
Burping,3.99
Burping,6.66
Burping,3.99
Burping,6.75
Burping,4.98
Burping,6.45
Burping,3.27
Burping,3.99
Burping,3.99
Burping,3.66
Burping,6.78
Burping,2.94
Burping,3.99
Burping,3.99
Burping,3.99
Burping,3.42
Burping,3.99
Burping,3.99
Burping,1.29
Burping,6.93
Burping,3.99
Burping,3.99
Burping,3.99
Burping,1.32
Burping,3.99
Burping,3.0
Burping,3.99
Burping,3.99
Burping,1.32
Burping,6.93
Burping,3.99
Burping,1.38
Burping,3.18
Burping,6.9
Burping,6.84
Burping,3.99
Burping,3.06
Burping,3.12
Burping,3.99
Burping,3.99
Burping,3.99
Burping,4.98
Burping,4.98
Burping,4.98
Burping,3.99
Burping,3.99
Burping,3.99
Burping,3.06
Burping,1.74
Burping,1.29
Burping,3.99
Burping,3.99
Burping,4.98
Burping,6.78
Burping,1.44
Burping,3.24
Burping,3.99
Burping,3.06
Burping,3.24
Burping,3.03
Burping,3.63
Burping,3.54
Burping,3.99
Burping,3.99
Burping,3.99
Burping,3.99
Burping,2.82
Burping,3.99
Burping,3.15
Burping,6.6
Burping,6.78
Burping,6.63
Burping,3.99
Burping,3.99
Burping,3.99
Burping,3.99
Burping,1.41
Burping,6.78
Burping,1.41
Burping,4.98
Burping,3.99
Burping,1.41
Burping,3.99
Burping,3.87
Burping,3.06
Burping,3.18
Burping,3.99
Burping,4.98
Burping,3.9
Burping,4.98
Burping,3.99
Burping,3.36
Burping,3.99
Burping,4.98
Burping,4.98
Burping,3.87
Burping,3.99
Burping,3.99
Burping,6.78
Burping,3.99
Burping,3.99
Burping,1.32
Burping,4.98
Burping,3.99
Burping,3.99
Burping,1.44
Burping,3.18
Burping,3.18
Burping,1.44
Burping,3.99
Burping,3.99
Burping,4.98
Burping,3.99
Burping,3.99
Burping,3.36
Burping,4.98
Burping,5.79
Burping,4.98
Burping,2.94
Burping,6.9
Burping,3.99
Burping,3.99
Burping,3.99
Burping,6.36
Burping,6.9
Burping,3.51
Burping,3.99
Burping,3.78
Burping,3.99
Burping,1.32
Burping,3.39
Burping,3.99
Burping,3.99
Burping,3.99
Burping,3.99
Burping,3.99
Burping,3.39
Burping,3.99
Burping,1.41
Burping,3.99
Burping,6.99
Burping,6.99
Burping,3.99
Burping,3.99
Burping,3.87
Burping,3.99
Burping,3.99
Burping,3.48
Burping,3.99
Burping,3.99
Burping,3.99
Burping,3.27
Burping,3.51
Burping,4.98
Burping,4.98
Burping,3.99
Burping,3.99
Burping,1.41
Burping,6.24
Burping,3.99
Burping,1.41
Burping,4.98
Burping,3.99
Burping,2.97
Discomfort,7.0
Discomfort,7.0
Discomfort,6.92
Discomfort,6.84
Discomfort,6.86
Discomfort,7.06
Discomfort,7.06
Discomfort,7.06
Discomfort,7.0
Discomfort,7.0
Discomfort,7.0
Discomfort,7.0
Discomfort,6.66
Discomfort,7.06
Discomfort,7.06
Discomfort,7.06
Discomfort,7.06
Discomfort,7.06
Discomfort,7.06
Discomfort,7.06
Discomfort,7.04
Discomfort,7.06
Discomfort,7.06
Discomfort,7.06
Discomfort,6.94
Discomfort,6.9
Discomfort,7.0
Discomfort,7.0
Discomfort,7.0
Discomfort,7.0
Discomfort,6.78
Discomfort,6.78
Discomfort,6.78
Discomfort,6.78
Discomfort,6.78
Discomfort,6.78
Discomfort,7.0
Discomfort,7.0
Discomfort,7.0
Discomfort,7.0
Discomfort,6.9
Discomfort,6.92
Discomfort,7.0
Discomfort,7.0
Discomfort,6.86
Discomfort,6.88
Discomfort,6.86
Discomfort,6.86
Discomfort,6.86
Discomfort,7.0
Discomfort,7.0
Discomfort,7.0
Discomfort,7.0
Discomfort,7.0
Discomfort,7.0
Discomfort,7.0
Discomfort,6.68
Discomfort,6.96
Discomfort,6.62
Discomfort,6.92
Discomfort,6.92
Discomfort,6.86
Discomfort,6.92
Discomfort,7.0
Discomfort,7.0
Discomfort,6.66
Discomfort,6.62
Discomfort,6.66
Discomfort,6.68
Discomfort,6.86
Discomfort,6.88
Discomfort,7.0
Discomfort,7.0
Discomfort,7.0
Discomfort,7.0
Discomfort,6.72
Discomfort,6.72
Discomfort,6.62
Discomfort,6.96
Discomfort,6.94
Discomfort,6.94
Discomfort,6.94
Discomfort,6.96
Discomfort,6.86
Discomfort,7.0
Discomfort,6.94
Discomfort,6.92
Discomfort,6.88
Discomfort,7.0
Discomfort,7.0
Discomfort,7.0
Discomfort,7.0
Discomfort,7.0
Discomfort,6.82
Discomfort,6.64
Discomfort,7.0
Discomfort,7.0
Discomfort,7.0
Discomfort,7.0
Discomfort,7.0
Discomfort,7.0
Discomfort,7.0
Discomfort,7.0
Discomfort,6.9
Discomfort,6.96
Discomfort,6.9
Discomfort,6.9
Discomfort,6.9
Discomfort,6.9
Discomfort,6.9
Discomfort,6.66
Discomfort,6.68
Discomfort,6.9
Discomfort,6.96
Discomfort,6.96
Discomfort,6.9
Discomfort,6.9
Discomfort,6.82
Discomfort,6.84
Discomfort,6.94
Discomfort,6.96
Discomfort,7.06
Hungry,6.94
Hungry,6.9
Hungry,6.96
Hungry,6.98
Hungry,7.0
Hungry,6.9
Hungry,6.96
Hungry,7.0
Hungry,7.0
Hungry,7.0
Hungry,7.0
Hungry,7.0
Hungry,7.0
Hungry,6.84
Hungry,6.94
Hungry,6.96
Hungry,7.0
Hungry,6.96
Hungry,7.0
Hungry,6.96
Hungry,7.0
Hungry,7.0
Hungry,7.0
Hungry,7.0
Hungry,7.0
Hungry,7.0
Hungry,6.86
Hungry,6.86
Hungry,6.86
Hungry,7.0
Hungry,6.78
Hungry,6.92
Hungry,6.92
Hungry,6.88
Hungry,6.86
Hungry,6.66
Hungry,6.9
Hungry,6.9
Hungry,6.86
Hungry,6.72
Hungry,7.0
Hungry,7.04
Hungry,7.06
Hungry,6.86
Hungry,6.88
Hungry,6.96
Hungry,7.0
Hungry,7.0
Hungry,7.0
Hungry,6.88
Hungry,6.92
Hungry,6.86
Hungry,6.86
Hungry,6.98
Hungry,6.92
Hungry,6.96
Hungry,6.94
Hungry,6.72
Hungry,6.68
Hungry,6.66
Hungry,7.0
Hungry,7.0
Hungry,6.74
Hungry,6.76
Hungry,6.74
Hungry,6.74
Hungry,6.76
Hungry,6.94
Hungry,6.78
Hungry,6.9
Hungry,7.0
Hungry,6.96
Hungry,6.9
Hungry,7.0
Hungry,7.0
Hungry,6.86
Hungry,7.0
Hungry,7.0
Hungry,6.86
Hungry,6.92
Hungry,6.92
Hungry,6.92
Hungry,6.92
Hungry,7.0
Hungry,7.0
Hungry,7.0
Hungry,7.0
Hungry,6.9
Hungry,6.96
Hungry,6.94
Hungry,7.0
Hungry,7.0
Hungry,7.0
Hungry,7.0
Hungry,7.0
Hungry,6.68
Hungry,6.68
Hungry,7.0
Hungry,7.0
Hungry,7.0
Hungry,7.0
Hungry,7.06
Hungry,6.68
Hungry,6.96
Hungry,6.9
Hungry,6.94
Hungry,6.96
Hungry,6.94
Hungry,7.0
Hungry,7.0
Hungry,7.04
Hungry,7.06
Hungry,7.04
Hungry,6.78
Hungry,6.92
Hungry,6.92
Hungry,6.74
Hungry,7.0
Hungry,6.64
Hungry,6.96
Hungry,6.94
Hungry,6.66
Hungry,6.68
Hungry,6.66
Hungry,6.92
Hungry,6.92
Hungry,6.92
Hungry,6.92
Hungry,6.92
Hungry,6.96
Hungry,6.92
Hungry,6.92
Hungry,6.94
Hungry,7.0
Hungry,7.0
Hungry,7.0
Hungry,6.94
Hungry,7.02
Hungry,6.78
Hungry,6.78
Hungry,7.0
Hungry,6.72
Hungry,7.0
Hungry,6.9
Hungry,6.9
Hungry,6.9
Hungry,6.9
Hungry,6.54
Hungry,6.54
Hungry,7.0
Hungry,7.0
Hungry,7.0
Hungry,7.0
Hungry,7.0
Hungry,6.92
Hungry,6.92
Hungry,6.94
Hungry,6.94
Hungry,7.0
Hungry,7.0
Hungry,7.0
Hungry,7.0
Hungry,7.0
Hungry,7.0
Hungry,7.0
Hungry,7.0
Hungry,7.0
Hungry,7.0
Hungry,7.0
Hungry,7.0
Hungry,7.0
Hungry,7.0
Hungry,7.0
Hungry,7.0
Hungry,7.0
Hungry,7.0
Hungry,7.0
Hungry,6.94
Hungry,6.94
Hungry,6.9
Hungry,6.9
Hungry,6.96
Hungry,6.98
Hungry,6.9
Hungry,6.96
Hungry,6.84
Hungry,6.94
Hungry,6.96
Hungry,6.94
Hungry,6.96
Hungry,6.96
Hungry,6.86
Hungry,6.86
Hungry,6.86
Hungry,6.78
Hungry,7.18
Hungry,6.92
Hungry,6.92
Hungry,6.88
Hungry,6.94
Hungry,6.86
Hungry,6.66
Hungry,6.9
Hungry,6.9
Hungry,6.86
Hungry,7.04
Hungry,7.06
Hungry,6.88
Hungry,6.96
Hungry,6.88
Hungry,6.92
Hungry,6.86
Hungry,6.86
Hungry,6.98
Hungry,6.92
Hungry,6.96
Hungry,6.94
Hungry,6.68
Hungry,6.66
Hungry,6.74
Hungry,6.76
Hungry,6.74
Hungry,6.74
Hungry,6.76
Hungry,6.94
Hungry,6.78
Hungry,6.9
Hungry,6.96
Hungry,6.9
Hungry,6.86
Hungry,6.92
Hungry,6.92
Hungry,6.92
Hungry,6.92
Hungry,6.84
Hungry,6.86
Hungry,7.06
Hungry,7.06
Hungry,6.66
Hungry,7.06
Hungry,7.06
Hungry,7.06
Hungry,7.06
Hungry,7.06
Hungry,7.06
Hungry,7.06
Hungry,7.04
Hungry,6.94
Hungry,6.9
Hungry,6.78
Hungry,6.78
Hungry,6.78
Hungry,6.78
Hungry,6.78
Hungry,6.78
Hungry,6.56
Hungry,6.9
Hungry,6.92
Hungry,6.86
Hungry,6.88
Hungry,6.86
Hungry,6.86
Hungry,6.86
Hungry,6.68
Hungry,6.96
Hungry,6.96
Hungry,7.12
Hungry,6.96
Hungry,6.94
Hungry,6.62
Hungry,6.92
Hungry,6.92
Hungry,6.86
Hungry,6.92
Hungry,6.92
Hungry,6.66
Hungry,6.62
Hungry,6.86
Hungry,6.88
Hungry,6.72
Hungry,6.72
Hungry,6.94
Hungry,6.96
Hungry,6.94
Hungry,6.94
Hungry,6.96
Hungry,6.86
Hungry,6.94
Hungry,6.92
Hungry,6.88
Hungry,6.82
Hungry,6.64
Hungry,6.9
Hungry,6.96
Hungry,6.94
Hungry,6.68
Hungry,6.68
Hungry,6.68
Hungry,6.96
Hungry,6.9
Hungry,6.94
Hungry,6.96
Hungry,6.94
Hungry,7.04
Hungry,7.06
Hungry,7.04
Hungry,6.78
Hungry,6.92
Hungry,6.92
Hungry,6.74
Hungry,6.64
Hungry,6.96
Hungry,6.94
Hungry,6.66
Hungry,6.66
Hungry,6.92
Hungry,6.92
Hungry,6.92
Hungry,6.96
Hungry,6.92
Hungry,6.94
Hungry,6.94
Hungry,7.02
Hungry,6.78
Hungry,6.78
Hungry,6.7
Hungry,6.72
Hungry,6.9
Hungry,6.9
Hungry,6.9
Hungry,6.9
Hungry,6.54
Hungry,6.54
Hungry,6.54
Hungry,6.92
Hungry,6.92
Hungry,6.94
Hungry,6.94
Hungry,6.66
Hungry,6.86
Hungry,6.94
Hungry,6.92
Hungry,6.96
Hungry,6.96
Hungry,7.04
Hungry,6.94
Hungry,7.04
Hungry,6.88
Hungry,6.92
Hungry,6.9
Hungry,6.9
Hungry,6.92
Hungry,7.02
Hungry,6.86
Hungry,6.92
Hungry,6.92
Hungry,6.94
Hungry,6.88
Hungry,6.9
Hungry,6.96
Hungry,6.76
Hungry,6.52
Hungry,6.92
Hungry,6.66
Hungry,6.66
Hungry,6.66
Hungry,6.96
Hungry,6.78
Hungry,6.88
Hungry,6.88
Hungry,6.64
Hungry,6.78
Hungry,6.78
Hungry,6.78
Hungry,6.78
Hungry,6.78
Hungry,6.78
Hungry,6.78
Hungry,6.78
Hungry,6.72
Hungry,6.9
Hungry,6.78
Hungry,7.06
Hungry,6.94
Hungry,6.92
Hungry,6.86
Hungry,6.94
Hungry,6.94
Hungry,6.94
Hungry,6.9
Hungry,6.92
Hungry,6.64
Hungry,6.82
Hungry,6.84
Hungry,6.82
Hungry,6.84
Hungry,6.9
Hungry,6.66
Hungry,6.64
Hungry,6.92
Hungry,6.92
Hungry,6.76
Hungry,6.88
Hungry,6.92
Hungry,6.92
Hungry,6.92
Hungry,6.92
Hungry,6.96
Hungry,6.92
Hungry,6.92
Hungry,6.9
Hungry,6.64
Hungry,6.64
Hungry,6.64
Hungry,6.64
Hungry,6.94
Hungry,6.96
Hungry,6.9
Hungry,6.9
Hungry,6.98
Hungry,7.06
Hungry,6.92
Hungry,6.9
Hungry,6.9
Hungry,6.74
Hungry,6.74
Hungry,6.76
Temperature Discomfort,6.52
Temperature Discomfort,7.0
Temperature Discomfort,7.0
Temperature Discomfort,7.0
Temperature Discomfort,6.68
Temperature Discomfort,6.66
Temperature Discomfort,6.9
Temperature Discomfort,6.9
Temperature Discomfort,6.9
Temperature Discomfort,6.9
Temperature Discomfort,6.9
Temperature Discomfort,6.84
Temperature Discomfort,6.66
Tired,7.0
Tired,7.0
Tired,7.0
Tired,7.0
Tired,7.0
Tired,6.68
Tired,6.66
Tired,6.52
Tired,6.92
Tired,6.78
Tired,6.96
Tired,6.94
Tired,6.94
Tired,6.94
Tired,6.92
Tired,6.88
Tired,6.82
Tired,6.82
Tired,6.84
